Latitude,Longitude
34.15,-114.55
32.65,-116.85
34.25,-118.75
35.45,-120.35
37.15,-119.15
37.55,-121.75
34.85,-116.45
39.75,-120.05
40.55,-122.35
41.95,-122.95
