,city,lat,lon,population
159,National City,32.665,-117.098,61394
160,Woodland,38.671,-121.75,60598
161,La Habra,33.928,-117.951,60513
162,South Whittier,33.934,-118.031,60357
163,Monterey Park,34.05,-118.133,59669
164,Gardena,33.894,-118.307,59329
165,Cupertino,37.317,-122.046,59276
166,La Mesa,32.77,-117.02,59249
167,San Rafael,37.99,-122.522,58440
168,Santee,32.855,-116.985,58081
169,Arcadia,34.134,-118.037,57939
170,Huntington Park,33.98,-118.217,57509
171,Diamond Bar,33.999,-117.816,55720
172,Novato,38.092,-122.558,55516
173,Highland,34.111,-117.165,55417
174,Fountain Valley,33.71,-117.951,55357
175,Hacienda Heights,33.997,-117.973,55188
176,Cathedral City,33.836,-116.464,55007
177,Delano,35.767,-119.264,54917
178,Colton,34.054,-117.325,54824
179,Arroyo Grande,35.124,-120.584,54177
180,Rosemead,34.069,-118.082,54058
181,Paramount,33.898,-118.165,53955
182,Yucaipa,34.034,-117.043,53921
183,West Sacramento,38.556,-121.55,53519
184,Palm Desert,33.738,-116.37,53275
185,Lompoc,34.662,-120.471,52020
186,Glendora,34.145,-117.847,51544
187,Placentia,33.881,-117.855,51233
188,Beaumont,33.908,-116.977,51063
189,Aliso Viejo,33.579,-117.729,50887
190,Rowland Heights,33.972,-117.891,50347
191,Azusa,34.139,-117.912,49974
192,Cerritos,33.868,-118.069,49859
193,Oroville,39.5,-121.563,49513
194,Poway,32.987,-117.02,49323
195,San Jacinto,33.797,-116.992,49215
196,Newark,37.52,-122.031,49149
197,Reedley,36.599,-119.447,49042
198,Cypress,33.817,-118.039,49006
199,Hollister,36.856,-121.398,48992
200,Ceres,37.595,-120.962,48706
201,Palm Springs,33.802,-116.538,48518
202,Antelope,38.715,-121.361,48398
203,Lincoln,38.876,-121.292,48275
204,La Mirada,33.902,-118.009,48183
205,Rancho Santa Margarita,33.632,-117.599,47896
206,North Highlands,38.671,-121.372,47661
207,Florin,38.483,-121.404,47555
208,Covina,34.09,-117.882,47450
209,El Dorado Hills,38.675,-121.049,46593
210,Morgan Hill,37.133,-121.642,45952
211,Coachella,33.69,-116.143,45743
212,Altadena,34.193,-118.134,44850
213,Selma,36.572,-119.614,44703
214,Danville,37.812,-121.97,44510
215,Eureka,40.794,-124.157,44236
216,Desert Hot Springs,33.955,-116.543,43914
217,Rohnert Park,38.348,-122.696,43291
218,Brea,33.925,-117.866,43255
219,San Bruno,37.625,-122.431,42807
220,Oakley,37.993,-121.695,42543
221,Bell Gardens,33.966,-118.155,42012
222,Campbell,37.28,-121.954,41793
223,La Quinta,33.654,-116.278,41748
224,Rancho Palos Verdes,33.755,-118.364,41530
225,Los Banos,37.063,-120.841,41036
226,Montclair,34.071,-117.698,40083
227,San Gabriel,34.095,-118.099,39899
228,Calexico,32.685,-115.494,39825
229,La Puente,34.032,-117.953,39614
230,Culver City,34.006,-118.397,39185
231,Pacifica,37.611,-122.478,38546
232,Martinez,37.998,-122.116,38297
233,La Presa,32.711,-117.003,38227
234,Stanton,33.8,-117.994,38139
235,Wildomar,33.617,-117.258,37229
236,West Hollywood,34.088,-118.372,36475
237,Moorpark,34.286,-118.877,36375
238,Monrovia,34.165,-117.992,36331
239,Claremont,34.126,-117.715,36266
240,French Valley,33.6,-117.107,36126
241,San Juan Capistrano,33.501,-117.654,35911
242,Foothill Farms,38.687,-121.348,35881
243,Temple City,34.102,-118.058,35811
244,Bell,33.98,-118.18,35521
245,Auburn,38.895,-121.078,35311
246,Westmont,33.942,-118.302,35266
247,Manhattan Beach,33.89,-118.397,35183
248,Pleasant Hill,37.954,-122.076,34839
249,Orangevale,38.688,-121.221,34824
250,Oildale,35.425,-119.028,34763
251,Menlo Park,37.469,-122.167,34698
252,Arcata,40.862,-124.076,34616
253,Grass Valley,39.224,-121.052,34196
254,Adelanto,34.582,-117.44,34049
255,Foster City,37.555,-122.266,33901
256,Sonoma,38.29,-122.46,33831
257,Beverly Hills,34.079,-118.402,33792
258,San Dimas,34.108,-117.809,33621
259,Dana Point,33.473,-117.697,33577
260,Ridgecrest,35.631,-117.662,32684
261,Lawndale,33.888,-118.353,32389
262,La Verne,34.121,-117.77,31974
263,Placerville,38.731,-120.798,31943
264,Fallbrook,33.369,-117.226,31701
265,Spring Valley,32.732,-116.977,31650
266,Banning,33.946,-116.899,31221
267,Laguna Hills,33.592,-117.699,31207
268,Orcutt,34.867,-120.427,31118
269,Fair Oaks,38.65,-121.25,31032
270,San Pablo,37.963,-122.342,30990
271,Goleta,34.436,-119.86,30911
272,Burlingame,37.586,-122.367,30889
273,Barstow,34.866,-117.047,30605
274,Santa Paula,34.352,-119.07,30233
275,Los Gatos,37.23,-121.956,30222
276,South Lake Tahoe,38.939,-119.983,30188
277,San Carlos,37.498,-122.268,30185
278,Saratoga,37.268,-122.026,30153
279,Los Altos,37.368,-122.097,30089
280,Atascadero,35.483,-120.686,30075
281,Walnut,34.033,-117.859,29685
282,Suisun City,38.247,-122.009,29663
283,Ukiah,39.146,-123.21,29561
