city,lat,lon,population
Eastvale,33.9631,-117.5639,64157.0
Encinitas,33.037,-117.292,62709.0
San Luis Obispo,35.2828,-120.6596,62290.0
Pico Rivera,33.9831,-118.0967,62027.0
Montebello,34.0165,-118.1138,61954.0
National City,32.6781,-117.0992,61394.0
Woodland,38.6785,-121.7733,60598.0
La Habra,33.932,-117.9462,60513.0
Monterey Park,34.0625,-118.1228,59669.0
Gardena,33.8884,-118.309,59329.0
Cupertino,37.323,-122.0322,59276.0
La Mesa,32.7678,-117.0231,59249.0
San Rafael,37.9735,-122.5311,58440.0
Santee,32.8384,-116.9739,58081.0
Arcadia,34.1397,-118.0353,57939.0
Huntington Park,33.9817,-118.2251,57509.0
Diamond Bar,34.0286,-117.8103,55720.0
Novato,38.1074,-122.5697,55516.0
Highland,34.1283,-117.2086,55417.0
Fountain Valley,33.7092,-117.9537,55357.0
Cathedral City,33.7797,-116.4653,55007.0
Delano,35.7688,-119.2471,54917.0
Colton,34.0739,-117.3137,54824.0
Arroyo Grande,35.1186,-120.5907,54177.0
Rosemead,34.0806,-118.0728,54058.0
Paramount,33.8895,-118.1598,53955.0
Yucaipa,34.0336,-117.0431,53921.0
West Sacramento,38.5805,-121.5302,53519.0
Palm Desert,33.7222,-116.3745,53275.0
Lompoc,34.6392,-120.4579,52020.0
Glendora,34.1361,-117.8653,51544.0
Placentia,33.8722,-117.8703,51233.0
Beaumont,33.9295,-116.9772,51063.0
Aliso Viejo,33.575,-117.7256,50887.0
Azusa,34.1336,-117.9076,49974.0
Cerritos,33.8583,-118.0648,49859.0
Oroville,39.5138,-121.5564,49513.0
Poway,32.9628,-117.0359,49323.0
San Jacinto,33.7839,-116.9586,49215.0
Newark,37.5297,-122.0402,49149.0
Reedley,36.5963,-119.4504,49042.0
Cypress,37.3205,-121.9622,49006.0
Hollister,36.8525,-121.4016,48992.0
Ceres,37.5949,-120.9577,48706.0
Palm Springs,33.8303,-116.5453,48518.0
Lincoln,38.8916,-121.293,48275.0
La Mirada,33.9172,-118.012,48183.0
Rancho Santa Margarita,33.6409,-117.6031,47896.0
Covina,34.09,-117.8903,47450.0
Morgan Hill,37.1305,-121.6544,45952.0
Coachella,33.6803,-116.1739,45743.0
Selma,36.5708,-119.6121,44703.0
Eureka,40.8021,-124.1637,44236.0
Desert Hot Springs,33.9611,-116.5017,43914.0
Rohnert Park,38.3396,-122.7011,43291.0
Brea,33.9167,-117.9001,43255.0
San Bruno,37.6305,-122.4111,42807.0
Oakley,37.9974,-121.7125,42543.0
Bell Gardens,33.9653,-118.1515,42012.0
Campbell,37.2872,-121.95,41793.0
La Quinta,33.6467,-116.31,41748.0
Rancho Palos Verdes,33.7445,-118.387,41530.0
Los Banos,37.0583,-120.8499,41036.0
Montclair,34.0775,-117.6898,40083.0
San Gabriel,34.0961,-118.1058,39899.0
Calexico,32.6789,-115.4989,39825.0
La Puente,34.02,-117.9495,39614.0
Culver City,34.0211,-118.3965,39185.0
Pacifica,37.6138,-122.4869,38546.0
