city_name,PC1,PC2,lat,lon
Aptos Hills-Larkin Valley,0.6986438730993925,-0.5070787728747027,36.961,-121.834
Shingletown,1.7663404410311279,0.5435615820901888,40.504,-121.86
Boron,-1.2499286950414923,0.2785907992080561,35.016,-117.666
Chester,1.5006226265428917,0.6885048951883277,40.302,-121.234
Borrego Springs,-2.209916600546114,0.17731761576503158,33.241,-116.357
China Lake Acres,-1.0305564339536761,0.43170623300158595,35.639,-117.767
Santa Nella,0.4718610688582332,-0.19659086866020756,37.101,-121.015
Hamilton City,1.5883996129078808,0.2659075089299947,39.742,-122.012
Bodfish,-0.8168351777266398,0.18031768178654717,35.576,-118.476
Easton,-0.06384305079663971,0.07065903750875471,36.652,-119.791
Seeley,-2.565488357142759,0.2632393717332888,32.79,-115.684
Auberry,-0.03581884644455868,0.2961417073616324,37.076,-119.49
Laton,-0.16148585551770697,0.037961043699911656,36.434,-119.692
Quincy,1.2982002264291828,0.6691087803726959,39.931,-120.955
Camino,0.8529084334665665,0.40290722356196146,38.741,-120.682
Lone Pine,-0.6481350753374407,0.6101090442066959,36.577,-118.078
Piru,-1.0597316963824253,-0.27512549076378084,34.408,-118.8
Lagunitas-Forest Knolls,1.2957301353561792,-0.472191530332805,38.018,-122.691
Pine Grove,0.746172121063959,0.3099470831710379,38.407,-120.661
Pine Mountain Club,-0.8087144480124255,-0.26486324850272736,34.845,-119.167
Elizabeth Lake,-1.1231137814999084,-0.061672119265532954,34.659,-118.378
Lost Hills,-0.4075978583252307,-0.19962285262419488,35.625,-119.679
Biola,0.05581295813382574,0.040089170692768315,36.801,-120.02
Searles Valley,-1.112755920378597,0.5922297772586996,35.77,-117.397
Del Rey Oaks,0.5899434723736435,-0.6184032063645757,36.593,-121.838
Los Alamos,-0.4762892039550853,-0.6612631046825451,34.738,-120.278
Black Point-Green Point,1.2674144287755733,-0.3876738280558157,38.112,-122.519
Temelec,1.3041725734701133,-0.3371395113495913,38.258,-122.498
Tuolumne City,0.4760350895376778,0.3140214754963639,37.962,-120.243
Descanso,-2.2319367481258743,-0.022480751584548653,32.87,-116.628
Linden,0.7738465620798938,0.050289936514717304,38.019,-121.099
Big Pine,-0.400878529880787,0.7150118122092886,37.166,-118.295
Home Garden,-0.219315060568332,0.016868297347107333,36.302,-119.636
Pine Valley,-2.278683737298613,0.0075252175935234256,32.842,-116.511
Lebec,-0.8966195456107864,-0.1769581509043664,34.845,-118.899
Green Valley,1.194860037733504,-0.22603329489926738,38.261,-122.162
Buttonwillow,-0.5502353387518195,-0.18613038358503878,35.409,-119.441
Mountain Mesa,-0.8206919274430565,0.22303751363343977,35.641,-118.405
Pioneer,0.7296143198020552,0.3432459044276123,38.435,-120.585
Lewiston,2.139577110542261,0.28571837182801363,40.697,-122.822
Redway,2.2953878575419564,-0.21447907220483375,40.121,-123.822
Lower Lake,1.5357642217717644,-0.17770876406151992,38.912,-122.608
Thermal,-2.168951013669455,0.36654105381504454,33.626,-116.131
Berry Creek,1.35611803372579,0.43182290170465704,39.631,-121.405
Avila Beach,-0.19442282323326593,-0.6686963362060696,35.197,-120.719
Herlong,1.0939546603490444,0.9995098899840787,40.142,-120.14
Del Rey,-0.12562404999328597,0.1348316109903521,36.656,-119.599
Laytonville,2.053575407469661,-0.24112083561845343,39.672,-123.494
Yosemite Valley,0.1918451263975476,0.4660769593928696,37.741,-119.578
Sunnyside-Tahoe City,0.8042875350207821,0.6960665926441325,39.15,-120.161
Tahoe Vista,0.7984878817912084,0.7604598158550405,39.248,-120.054
Big River,-2.5964865658061953,1.1007960079969386,34.139,-114.36
Alpaugh,-0.39195164004654615,-0.05802306166725732,35.888,-119.487
Hasley Canyon,-1.0815621830457962,-0.20905087982879078,34.482,-118.666
Palo Cedro,1.9037204798693441,0.43428254110016595,40.551,-122.236
Mountain Ranch,0.650663812275462,0.3121839948463904,38.251,-120.512
Gerber,1.728372194510572,0.3166629765522626,40.061,-122.148
Covelo,2.0124054902941686,-0.12222475418200529,39.802,-123.25
Camanche North Shore,0.7935489949943189,0.16511355712886788,38.244,-120.954
Matheny,-0.3516302526110468,0.07085943155762942,36.171,-119.352
Kettleman City,-0.19964912952089484,-0.17798045007309587,36.009,-119.963
Sea Ranch,1.7543341125016791,-0.5134657947541034,38.716,-123.453
Johnstonville,1.3107668710454978,0.9243984556710547,40.379,-120.585
Santa Margarita,-0.17343349499671015,-0.574890098764908,35.389,-120.608
Taft Mosswood,0.802809903164887,-0.04145222955027583,37.914,-121.283
Fort Dick,2.9256193540630946,0.19861371308453024,41.866,-124.153
Shandon,-0.16801351829882405,-0.42186827908469426,35.654,-120.383
Crowley Lake,-0.13247312819846951,0.6875575197359334,37.569,-118.746
West Park,-0.027691674546715228,0.06679391410568944,36.706,-119.852
Knights Landing,1.209760643201711,0.08013494738739058,38.798,-121.718
Beale AFB,1.1836385495469313,0.29279983526845943,39.11,-121.354
Julian,-2.183743763584722,0.05129655240687425,33.074,-116.589
Silverado Resort,1.2534944737746025,-0.2290636288152239,38.354,-122.256
Chalfant,-0.2718005079865303,0.7916091788209427,37.51,-118.375
Talmage,1.7839318490249017,-0.2949376992135103,39.131,-123.165
Cleone,2.0942011082570238,-0.38876948565743485,39.493,-123.781
Herald,0.8987846324719391,0.0879789174994372,38.291,-121.232
Springville,-0.5376795005119053,0.22462242661162868,36.117,-118.834
La Honda,0.9467376407329071,-0.5417245355762123,37.318,-122.265
Mountain Gate,1.9831649616641878,0.4546862857020879,40.718,-122.326
Boonville,1.8169100374991314,-0.39906522266507505,39.012,-123.374
Santa Susana,-1.1485262630244635,-0.27601495980745816,34.258,-118.666
Hopland,1.7197582731698335,-0.32762288189901523,38.969,-123.117
Lake Don Pedro,0.4124002902605878,0.18872190626220942,37.646,-120.337
Stratford,-0.1923862323628747,-0.07822039797949298,36.188,-119.822
Dorris,2.222482993765926,0.9603436433630329,41.964,-121.92
Upper Lake,1.708814974901717,-0.19949244366823027,39.165,-122.905
